t_date,cust_id,t_amt,services,products_used,city,state,t_details
07-16-2015,4008634,86.58,Gymnastics,Balance Beams,Oklahoma City,Oklahoma,credit
07-22-2015,4002153,133.09,Team Sports,Beach Volleyball,Santa Ana,California,credit
01-30-2015,4004441,29.93,Outdoor Recreation,Shooting Games,Denton,Texas,credit
06-08-2015,4008850,43.65,Exercise & Fitness,Free Weights,Chattanooga,Tennessee,credit
02-02-2015,4003221,73.38,Water Sports,Boating,Jackson,Mississippi,credit
06-18-2015,4007239,190.07,Gymnastics,Springboards,Lowell,Massachusetts,credit
01-01-2015,4009773,91.15,Outdoor Recreation,Skating,Buffalo,New York,credit
09-07-2015,4007753,130.13,Outdoor Recreation,Fishing,Seattle,Washington,credit
06-28-2015,4004637,91.5,Games,Dice Games,Dallas,Texas,credit
05-02-2015,4004081,30.51,Games,Board Games,Orlando,Florida,credit
01-08-2015,4005922,28.17,Outdoor Play Equipment,Outdoor Playsets,Salem,Oregon,cash
10-23-2015,4005598,109.76,Exercise & Fitness,Weightlifting Belts,Irvine,California,credit
12-03-2015,4001005,22.16,Exercise & Fitness,Stopwatches,Chicago,Illinois,cash
06-15-2015,4009746,67.1,Outdoor Recreation,Skating,Baltimore,Maryland,credit
10-18-2015,4001781,143.55,Outdoor Recreation,Fishing,Lowell,Massachusetts,credit
08-29-2015,4009410,190.13,Team Sports,Curling,Buffalo,New York,credit
06-14-2015,4002695,56.11,Games,Card Games,Fremont,California,credit
05-07-2015,4006206,5.38,Outdoor Recreation,Archery,Detroit,Michigan,cash
01-29-2015,4009979,10.91,Outdoor Recreation,Geocaching,Midland,Texas,cash
04-27-2015,4007144,139.74,Winter Sports,Bobsledding,Cincinnati,Ohio,credit
02-12-2015,4000382,185.73,Air Sports,Hang Gliding,Boise,Idaho,credit
05-16-2015,4008154,152.57,Team Sports,Cheerleading,Washington,District of Columbia,credit
10-04-2015,4007767,125.71,Team Sports,Basketball,St. Louis  ,Missouri,credit
12-30-2015,4001726,126.58,Winter Sports,Snowmobiling,Orlando,Florida,credit
12-09-2015,4007887,110.83,Outdoor Recreation,Archery,Denver  ,Colorado,credit
05-23-2015,4007711,101.24,Outdoor Play Equipment,Swing Sets,Pasadena,California,credit
01-02-2015,4001450,58.08,Water Sports,Towed Water Sports,Des Moines,Iowa,credit
12-11-2015,4006299,138.43,Water Sports,Whitewater Rafting,Houston,Texas,credit
08-16-2015,4002197,181.96,Gymnastics,Vaulting Horses,Clarksville,Tennessee,credit
01-12-2015,4003551,102.12,Outdoor Play Equipment,Slides,Montgomery,Alabama,credit
01-22-2015,4004343,96.34,Exercise & Fitness,Medicine Balls,Plano,Texas,credit
05-04-2015,4007489,15.02,Outdoor Recreation,Golf,Coral Springs,Florida,cash
12-02-2015,4008951,172.67,Team Sports,Rugby,Denver  ,Colorado,credit
06-10-2015,4009904,46.16,Water Sports,Boating,Houston,Texas,cash
01-30-2015,4009459,33.29,Winter Sports,Cross-Country Skiing,McKinney,Texas,cash
12-02-2015,4007288,91.01,Combat Sports,Boxing,Montgomery,Alabama,credit
12-22-2015,4000479,106.64,Winter Sports,Bobsledding,Everett,Washington,credit
12-07-2015,4009837,87.57,Outdoor Play Equipment,Sandboxes,Denver  ,Colorado,credit
07-14-2015,4004318,36.78,Racquet Sports,Tennis,Richmond  ,Virginia,cash
12-07-2015,4002914,132.27,Games,Dominoes,Everett,Washington,credit
05-18-2015,4003028,132.33,Indoor Games,Foosball,Long Beach,California,credit
02-08-2015,4006828,67.81,Outdoor Play Equipment,Outdoor Playsets,Huntsville,Alabama,credit
09-10-2015,4000784,194.21,Dancing,Ballet Bars,New York,New York,credit
06-09-2015,4000392,29.26,Winter Sports,Downhill Skiing,Minneapolis,Minnesota,cash
05-20-2015,4009320,82.31,Team Sports,Baseball,Everett,Washington,credit
05-08-2015,4002678,124.32,Team Sports,Lacrosse,Berkeley,California,credit
05-10-2015,4002086,89.75,Indoor Games,Foosball,Sacramento,California,credit
09-19-2015,4001135,91.78,Water Sports,Water Tubing,Flint,Michigan,credit
07-03-2015,4000138,30.85,Exercise & Fitness,Cardio Machine Accessories,Denton,Texas,cash
09-05-2015,4007406,153.11,Outdoor Recreation,Lawn Games,Memphis,Tennessee,credit
01-31-2015,4000411,110.85,Exercise & Fitness,Yoga & Pilates,Paterson,New Jersey,credit
11-21-2015,4007190,97.91,Jumping,Trampoline Accessories,Oakland,California,credit
07-28-2015,4001193,92.43,Outdoor Play Equipment,Playhouses,Midland,Texas,credit
11-19-2015,4007230,55.56,Outdoor Recreation,Archery,Centennial,Colorado,credit
04-01-2015,4006076,139.36,Outdoor Recreation,Track & Field,Eugene,Oregon,credit
03-04-2015,4003340,197.71,Water Sports,Water Tubing,El Paso,Texas,credit
08-14-2015,4000467,49.85,Outdoor Recreation,Golf,Tampa,Florida,cash
11-25-2015,4007534,141.84,Games,Dice & Dice Sets,Saint Paul,Minnesota,credit
09-15-2015,4005226,115.41,Indoor Games,Air Hockey,Centennial,Colorado,credit
07-01-2015,4009356,97.88,Outdoor Recreation,Archery,Phoenix,Arizona,credit
01-15-2015,4000483,144.64,Games,Dominoes,Las Vegas,Nevada,credit
03-19-2015,4000632,72.36,Exercise & Fitness,Gym Mats,Nashville  ,Tennessee,credit
02-09-2015,4009153,55.16,Outdoor Recreation,Tetherball,Oklahoma City,Oklahoma,credit
06-19-2015,4001858,33.61,Exercise & Fitness,Abdominal Equipment,Los Angeles,California,cash
12-30-2015,4000913,188.11,Water Sports,Swimming,Dayton,Ohio,credit
08-27-2015,4003384,167.5,Exercise & Fitness,Weight Benches,Reno,Nevada,credit
09-23-2015,4001188,196.22,Water Sports,Kitesurfing,Richmond  ,Virginia,credit
05-27-2015,4004256,176.64,Water Sports,Water Tubing,Centennial,Colorado,credit
08-13-2015,4000145,74.85,Team Sports,Cricket,Denton,Texas,credit
11-28-2015,4009259,137.11,Combat Sports,Fencing,Jersey City,New Jersey,credit
04-25-2015,4006927,22.46,Outdoor Play Equipment,Swing Sets,Madison,Wisconsin,credit
08-21-2015,4002192,75.63,Games,Poker Chips & Sets,Cincinnati,Ohio,credit
03-04-2015,4004482,131.12,Team Sports,Curling,San Francisco,California,credit
03-20-2015,4000176,32.5,Exercise & Fitness,Cardio Machines,Denver  ,Colorado,credit
06-23-2015,4004652,71.91,Games,Dominoes,Honolulu  ,Hawaii,credit
08-28-2015,4001998,95.18,Outdoor Recreation,Track & Field,McKinney,Texas,credit
06-15-2015,4000489,108.51,Team Sports,Indoor Volleyball,Louisville,Kentucky,credit
07-25-2015,4005101,41.8,Outdoor Recreation,Running,Santa Ana,California,credit
02-21-2015,4003129,39.22,Outdoor Recreation,Fishing,Brownsville,Texas,credit
10-12-2015,4006786,78.86,Water Sports,Surfing,Buffalo,New York,credit
06-21-2015,4003008,63.8,Air Sports,Parachutes,Orlando,Florida,credit
10-25-2015,4004594,53.29,Winter Sports,Sledding,New York,New York,credit
12-27-2015,4006740,135.93,Outdoor Recreation,Geocaching,Columbus,Georgia,credit
08-30-2015,4001480,9.26,Outdoor Recreation,Golf,Saint Paul,Minnesota,credit
11-14-2015,4004195,28.32,Combat Sports,Boxing,Hampton  ,Virginia,credit
07-23-2015,4003938,126.25,Water Sports,Scuba Diving & Snorkeling,Richmond  ,Virginia,credit
12-25-2015,4007356,49.04,Outdoor Recreation,Lawn Games,Portland,Oregon,credit
06-10-2015,4008848,124.02,Team Sports,Baseball,Cleveland,Ohio,credit
10-31-2015,4000796,105.48,Combat Sports,Martial Arts,Jersey City,New Jersey,credit
08-08-2015,4004934,110.15,Indoor Games,Billiards,Lincoln,Nebraska,credit
12-04-2015,4004710,85.04,Outdoor Play Equipment,Playhouses,Columbia,Missouri,credit
12-13-2015,4008266,96.84,Gymnastics,Gymnastics Protective Gear,Green Bay,Wisconsin,credit
09-03-2015,4006684,112.18,Outdoor Recreation,Rock Climbing,Los Angeles,California,credit
04-01-2015,4000739,195.12,Outdoor Play Equipment,Water Tables,Denver  ,Colorado,credit
05-19-2015,4002514,83.3,Outdoor Recreation,Track & Field,Tampa,Florida,credit
10-21-2015,4001708,120.64,Outdoor Recreation,Shooting Games,Lincoln,Nebraska,credit
02-09-2015,4005184,189.94,Outdoor Recreation,Lawn Games,Memphis,Tennessee,credit
03-28-2015,4004748,119.68,Jumping,Trampolines,Montgomery,Alabama,credit
06-27-2015,4003186,89.29,Outdoor Recreation,Golf,Minneapolis,Minnesota,credit
06-01-2015,4004673,116.99,Jumping,Jumping Stilts,Atlanta,Georgia,credit
11-10-2015,4007021,33.2,Games,Card Games,Montgomery,Alabama,credit
06-04-2015,4002587,71.51,Jumping,Pogo Sticks,San Antonio,Texas,credit
12-28-2015,4004773,29.29,Outdoor Recreation,Deck Shuffleboard,Durham,North Carolina,credit
05-02-2015,4009759,46.6,Outdoor Recreation,Lawn Games,Pittsburgh,Pennsylvania,credit
06-10-2015,4004023,117.03,Outdoor Recreation,Running,Berkeley,California,credit
10-10-2015,4005486,127.17,Winter Sports,Bobsledding,Pasadena,Texas,credit
02-05-2015,4002805,49.71,Exercise & Fitness,Weightlifting Machine Accessories,Boston,Massachusetts,credit
05-05-2015,4006580,34.65,Gymnastics,Vaulting Horses,Berkeley,California,credit
11-04-2015,4008035,152.98,Water Sports,Wetsuits,Chicago,Illinois,credit
04-04-2015,4004700,8.27,Exercise & Fitness,Free Weight Bars,Orlando,Florida,credit
01-24-2015,4009580,54.94,Team Sports,Beach Volleyball,Baltimore,Maryland,credit
11-01-2015,4009838,132.53,Jumping,Trampoline Accessories,Columbus,Georgia,credit
06-12-2015,4005252,136.15,Outdoor Recreation,Ice Climbing,Denver  ,Colorado,credit
07-11-2015,4006666,19.53,Puzzles,Mechanical Puzzles,Brownsville,Texas,cash
01-09-2015,4000950,143.7,Games,Board Games,Overland Park,Kansas,credit
11-18-2015,4002815,163.99,Gymnastics,Gymnastics Mats,Washington,District of Columbia,credit
08-06-2015,4008234,132.63,Indoor Games,Foosball,Oakland,California,credit
02-14-2015,4005189,7.41,Exercise & Fitness,Free Weights,Las Vegas,Nevada,cash
01-01-2015,4006823,39.58,Outdoor Recreation,Running,Gilbert,Arizona,cash
04-22-2015,4000716,53.36,Team Sports,Soccer,Kansas City,Kansas,credit
03-23-2015,4008446,130.72,Combat Sports,Fencing,Irvine,California,credit
01-09-2015,4004140,78.35,Games,Poker Chips & Sets,Sunnyvale,California,credit
03-06-2015,4007371,56.89,Team Sports,Cheerleading,Montgomery,Alabama,credit
10-22-2015,4005851,112.25,Water Sports,Wetsuits,Minneapolis,Minnesota,credit
05-08-2015,4006688,170.02,Combat Sports,Fencing,Cincinnati,Ohio,credit
01-09-2015,4005315,71.31,Racquet Sports,Badminton,Kansas City,Missouri,credit
01-23-2015,4009712,113.71,Water Sports,Water Tubing,New York,New York,credit
11-14-2015,4006761,138.22,Water Sports,Windsurfing,Kansas City,Kansas,credit
06-23-2015,4006562,6.28,Team Sports,Curling,Chattanooga,Tennessee,cash
05-15-2015,4006391,131.24,Gymnastics,Gymnastics Protective Gear,Miami,Florida,credit
10-02-2015,4005423,198.82,Outdoor Recreation,Skating,Boston,Massachusetts,credit
08-29-2015,4004952,144.37,Jumping,Jumping Stilts,Columbus,Ohio,credit
10-07-2015,4000757,80.47,Outdoor Recreation,Equestrian,St. Petersburg,Florida,credit
07-01-2015,4003821,143.55,Games,Poker Chips & Sets,Pittsburgh,Pennsylvania,credit
05-15-2015,4005487,169.75,Outdoor Recreation,Archery,Las Vegas,Nevada,credit
09-27-2015,4005223,53.46,Winter Sports,Snowmobiling,Flint,Michigan,credit
04-05-2015,4004947,33.92,Water Sports,Kitesurfing,Memphis,Tennessee,cash
07-04-2015,4006585,178.59,Air Sports,Air Suits,Centennial,Colorado,credit
06-23-2015,4002743,58.85,Water Sports,Swimming,Sunnyvale,California,credit
09-04-2015,4008465,57.71,Outdoor Play Equipment,Lawn Water Slides,Honolulu  ,Hawaii,credit
09-11-2015,4009237,66.69,Air Sports,Hang Gliding,Hartford,Connecticut,credit
03-18-2015,4009811,105.54,Outdoor Recreation,Shooting Games,McKinney,Texas,credit
09-08-2015,4002744,154.25,Indoor Games,Table Shuffleboard,Portland,Oregon,credit
01-03-2015,4004751,17.23,Water Sports,Kitesurfing,Omaha,Nebraska,cash
02-05-2015,4001739,144.25,Outdoor Recreation,Ice Climbing,Jersey City,New Jersey,credit
03-26-2015,4009677,156.49,Water Sports,Whitewater Rafting,Long Beach,California,credit
07-29-2015,4003200,22.12,Outdoor Recreation,Ice Climbing,Miami,Florida,cash
02-01-2015,4004898,64.73,Team Sports,Beach Volleyball,Nashville  ,Tennessee,credit
12-06-2015,4004190,52.78,Team Sports,Curling,Salt Lake City,Utah,credit
08-21-2015,4007382,49.21,Gymnastics,Gymnastics Rings,Jersey City,New Jersey,cash
09-06-2015,4000127,76.12,Games,Mahjong,Flint,Michigan,credit
08-24-2015,4003485,98.22,Outdoor Recreation,Ice Climbing,Springfield,Illinois,credit
07-21-2015,4003508,140.92,Water Sports,Whitewater Rafting,Columbus,Georgia,credit
12-24-2015,4008834,55.18,Games,Dice Games,Las Vegas,Nevada,credit
10-23-2015,4007006,144.43,Outdoor Recreation,Camping & Backpacking & Hiking,Denver  ,Colorado,credit
08-24-2015,4007736,40.41,Exercise & Fitness,Medicine Balls,Jackson,Mississippi,cash
08-17-2015,4009024,160.54,Games,Mahjong,Santa Ana,California,credit
07-17-2015,4001586,119.71,Outdoor Play Equipment,Sandboxes,McKinney,Texas,credit
08-07-2015,4009554,78.69,Exercise & Fitness,Weightlifting Machine Accessories,Lowell,Massachusetts,credit
02-21-2015,4000769,24.39,Racquet Sports,Racquetball,Durham,North Carolina,cash
06-08-2015,4005504,121.6,Water Sports,Kitesurfing,Columbia,Missouri,credit
09-15-2015,4002769,101.49,Exercise & Fitness,Exercise Balls,Oklahoma City,Oklahoma,credit
02-22-2015,4001941,158.35,Indoor Games,Air Hockey,Des Moines,Iowa,credit
07-18-2015,4001990,169.8,Outdoor Recreation,Lawn Games,Boston,Massachusetts,credit
03-17-2015,4006674,80.42,Jumping,Bungee Jumping,Alexandria  ,Virginia,credit
02-20-2015,4009093,50.56,Outdoor Recreation,Camping & Backpacking & Hiking,Des Moines,Iowa,credit
08-12-2015,4009775,192.77,Water Sports,Kitesurfing,Portland,Oregon,credit
06-26-2015,4005379,26.56,Outdoor Recreation,Cycling,Westminster,Colorado,cash
03-26-2015,4007673,52.85,Winter Sports,Snowshoeing,Pittsburgh,Pennsylvania,credit
05-23-2015,4007711,177.21,Exercise & Fitness,Free Weight Bars,Saint Paul,Minnesota,credit
10-30-2015,4002335,157.02,Winter Sports,Snowmobiling,Columbia,Missouri,credit
01-05-2015,4002049,34.87,Indoor Games,Bowling,Birmingham,Alabama,credit
12-30-2015,4001135,12.92,Gymnastics,Gymnastics Bars,St. Petersburg,Florida,credit
02-20-2015,4007826,122.8,Indoor Games,Table Shuffleboard,Madison,Wisconsin,credit
03-29-2015,4006837,21.1,Puzzles,Mechanical Puzzles,Charleston,South Carolina,credit
07-18-2015,4000160,170.6,Exercise & Fitness,Exercise Bands,Clarksville,Tennessee,credit
07-09-2015,4003012,29.22,Air Sports,Hang Gliding,Sacramento,California,credit
12-25-2015,4000398,34.04,Water Sports,Water Polo,Vancouver,Washington,credit
02-11-2015,4007519,85.37,Jumping,Pogo Sticks,Newark,New Jersey,credit
04-04-2015,4002009,53.75,Gymnastics,Vaulting Horses,Detroit,Michigan,credit
11-28-2015,4000788,55.16,Outdoor Recreation,Track & Field,Baltimore,Maryland,credit
02-16-2015,4003644,63.26,Exercise & Fitness,Free Weight Bars,Oklahoma City,Oklahoma,credit
07-31-2015,4007539,18.59,Gymnastics,Gymnastics Protective Gear,Charleston,South Carolina,credit
01-24-2015,4004632,165.33,Team Sports,Curling,New York,New York,credit
05-05-2015,4008759,65.62,Team Sports,Beach Volleyball,Gilbert,Arizona,credit
11-08-2015,4006376,159.8,Indoor Games,Foosball,Sacramento,California,credit
10-01-2015,4002194,117.68,Winter Sports,Downhill Skiing,Tampa,Florida,credit
08-11-2015,4002093,68.86,Team Sports,Team Handball,Cincinnati,Ohio,credit
11-07-2015,4006304,26.01,Team Sports,Cheerleading,Denver  ,Colorado,credit
11-14-2015,4003729,50.74,Games,Poker Chips & Sets,Lincoln,Nebraska,credit
04-27-2015,4009079,36.54,Puzzles,Jigsaw Puzzles,Fremont,California,credit
09-19-2015,4000499,122.3,Racquet Sports,Racquetball,Westminster,Colorado,credit
11-08-2015,4003068,75.79,Exercise & Fitness,Weight Benches,Boise,Idaho,credit
12-28-2015,4005387,79.09,Team Sports,Rugby,Clarksville,Tennessee,credit
01-08-2015,4008751,148.87,Team Sports,Cricket,Miami,Florida,credit
12-24-2015,4007168,69.55,Indoor Games,Billiards,Overland Park,Kansas,credit
09-27-2015,4002189,16.95,Water Sports,Boating,Montgomery,Alabama,credit
08-03-2015,4007847,52.85,Water Sports,Kitesurfing,Lexington,Kentucky,credit
09-09-2015,4001409,12.57,Exercise & Fitness,Weightlifting Gloves,Dayton,Ohio,credit
01-14-2015,4004190,62.29,Indoor Games,Air Hockey,Fremont,California,credit
10-07-2015,4006446,153.27,Jumping,Jumping Stilts,Lowell,Massachusetts,credit
07-29-2015,4007686,85.34,Outdoor Recreation,Ice Climbing,Columbus,Georgia,credit
01-10-2015,4001755,185.8,Water Sports,Windsurfing,Alexandria  ,Virginia,credit
12-18-2015,4002630,88.38,Outdoor Play Equipment,Sandboxes,New York,New York,credit
04-12-2015,4004579,54.62,Outdoor Recreation,Riding Scooters,Pittsburgh,Pennsylvania,credit
04-02-2015,4007841,199.79,Outdoor Play Equipment,Sandboxes,Minneapolis,Minnesota,credit
11-12-2015,4005911,132.01,Outdoor Recreation,Deck Shuffleboard,Louisville,Kentucky,credit
02-13-2015,4007218,107.11,Gymnastics,Springboards,Pasadena,California,credit
04-22-2015,4000341,150.42,Winter Sports,Cross-Country Skiing,Las Vegas,Nevada,credit
08-31-2015,4008079,165.18,Games,Mahjong,Cleveland,Ohio,credit
05-09-2015,4004351,158.49,Outdoor Recreation,Fishing,Rockford,Illinois,credit
03-29-2015,4008154,63.95,Exercise & Fitness,Weightlifting Gloves,Gilbert,Arizona,credit
11-23-2015,4009396,39.66,Racquet Sports,Squash,Newark,New Jersey,cash
06-07-2015,4002134,75.35,Outdoor Recreation,Equestrian,Everett,Washington,credit
06-29-2015,4003255,174.89,Outdoor Recreation,Hunting,Irving,Texas,credit
06-13-2015,4009225,28.92,Team Sports,Soccer,Detroit,Michigan,cash
10-06-2015,4003980,134.23,Indoor Games,Darts,Boise,Idaho,credit
02-06-2015,4003483,64.45,Jumping,Pogo Sticks,Montgomery,Alabama,credit
06-13-2015,4009494,60.04,Games,Poker Chips & Sets,Pasadena,California,credit
02-19-2015,4004809,122.05,Team Sports,Hockey,Oklahoma City,Oklahoma,credit
06-19-2015,4001410,5.33,Team Sports,Softball,Saint Paul,Minnesota,cash
04-26-2015,4009285,118.87,Indoor Games,Table Shuffleboard,St. Louis  ,Missouri,credit
04-23-2015,4001721,151.97,Water Sports,Boating,Omaha,Nebraska,credit
03-17-2015,4009740,193.29,Team Sports,Indoor Volleyball,Charleston,South Carolina,credit
11-19-2015,4005486,31.98,Water Sports,Boating,Honolulu  ,Hawaii,cash
11-13-2015,4005423,9.3,Outdoor Recreation,Hunting,Boston,Massachusetts,cash
04-17-2015,4008945,7.8,Outdoor Play Equipment,Swing Sets,St. Petersburg,Florida,cash
06-06-2015,4009328,20.56,Indoor Games,Air Hockey,Columbia,Missouri,cash
09-21-2015,4006046,8,Indoor Games,Foosball,Scottsdale,Arizona,cash
10-30-2015,4004219,190.82,Exercise & Fitness,Weightlifting Machine Accessories,Scottsdale,Arizona,credit
01-18-2015,4009778,91.23,Outdoor Recreation,Camping & Backpacking & Hiking,Portland,Oregon,credit
11-28-2015,4006932,130.76,Water Sports,Windsurfing,Springfield,Illinois,credit
08-06-2015,4003883,143.1,Team Sports,Hockey,Chattanooga,Tennessee,credit
07-11-2015,4003766,84.18,Winter Sports,Snowshoeing,Santa Ana,California,credit
03-02-2015,4001654,61.79,Team Sports,Rugby,Cleveland,Ohio,credit
10-14-2015,4001229,62.27,Water Sports,Water Tubing,Boston,Massachusetts,credit
07-11-2015,4000204,180.5,Water Sports,Bodyboarding,Overland Park,Kansas,credit
01-21-2015,4009421,153.52,Water Sports,Windsurfing,Berkeley,California,credit
02-17-2015,4006343,5.88,Jumping,Trampoline Accessories,Cleveland,Ohio,cash
04-24-2015,4008326,185.4,Games,Dice & Dice Sets,Houston,Texas,credit
11-19-2015,4009726,147.64,Indoor Games,Bowling,Los Angeles,California,credit
06-17-2015,4007790,22.71,Team Sports,Cricket,Houston,Texas,cash
08-25-2015,4009436,75.7,Water Sports,Whitewater Rafting,Saint Paul,Minnesota,credit
06-08-2015,4002806,173.57,Exercise & Fitness,Medicine Balls,Alexandria  ,Virginia,credit
04-29-2015,4002542,162.94,Team Sports,Basketball,Tampa,Florida,credit
05-08-2015,4008644,151.98,Exercise & Fitness,Abdominal Equipment,Jackson,Mississippi,credit
10-08-2015,4001127,147.86,Team Sports,Basketball,Kansas City,Kansas,credit
10-21-2015,4004094,37.81,Water Sports,Towed Water Sports,Sunnyvale,California,cash
10-18-2015,4000368,140.33,Exercise & Fitness,Jump Ropes,Montgomery,Alabama,credit
01-18-2015,4004547,45.75,Outdoor Recreation,Lawn Games,Cleveland,Ohio,cash
02-17-2015,4009418,98.83,Team Sports,Lacrosse,Austin,Texas,credit
12-08-2015,4000261,135.78,Exercise & Fitness,Exercise Balls,Orlando,Florida,credit
07-17-2015,4000169,99.49,Exercise & Fitness,Free Weight Bars,Salem,Oregon,credit
11-06-2015,4002069,83.83,Exercise & Fitness,Weight Benches,Miami,Florida,credit
07-19-2015,4001722,140.21,Outdoor Recreation,Riding Scooters,Jacksonville ,Florida,credit
11-07-2015,4006361,38.62,Water Sports,Windsurfing,Kansas City,Missouri,cash
11-18-2015,4009426,53.08,Combat Sports,Martial Arts,Huntsville,Alabama,credit
12-28-2015,4009636,115.09,Gymnastics,Gymnastics Bars,Honolulu  ,Hawaii,credit
06-11-2015,4006884,141.71,Team Sports,Lacrosse,Phoenix,Arizona,credit
03-09-2015,4005975,104.49,Combat Sports,Wrestling,Lexington,Kentucky,credit
09-04-2015,4006173,173.21,Winter Sports,Sledding,Montgomery,Alabama,credit
04-26-2015,4009614,135.88,Team Sports,Field Hockey,San Jose,California,credit
07-31-2015,4007919,115,Outdoor Play Equipment,Slides,Flint,Michigan,credit
02-14-2015,4002804,27.23,Water Sports,Bodyboarding,Denver  ,Colorado,cash
07-16-2015,4009648,117.39,Water Sports,Whitewater Rafting,Detroit,Michigan,credit
06-09-2015,4009521,89.57,Outdoor Recreation,Track & Field,Vancouver,Washington,credit
06-16-2015,4008997,116.57,Outdoor Recreation,Lawn Games,Alexandria  ,Virginia,credit
12-15-2015,4001846,16.11,Jumping,Pogo Sticks,Sunnyvale,California,cash
05-11-2015,4009976,184.87,Racquet Sports,Squash,Kansas City,Kansas,credit
06-03-2015,4009561,23.93,Water Sports,Life Jackets,Berkeley,California,credit
10-10-2015,4002274,12.5,Winter Sports,Cross-Country Skiing,Las Vegas,Nevada,credit
05-18-2015,4007571,109.44,Jumping,Bungee Jumping,Indianapolis ,Indiana,credit
02-07-2015,4004048,191.99,Outdoor Play Equipment,Outdoor Playsets,Madison,Wisconsin,credit
07-30-2015,4000283,199.68,Water Sports,Swimming,Kansas City,Missouri,credit
09-05-2015,4008377,32.57,Water Sports,Towed Water Sports,Buffalo,New York,credit
09-05-2015,4008072,39.64,Water Sports,Kitesurfing,Santa Ana,California,credit
09-14-2015,4008553,145.45,Team Sports,Cricket,Long Beach,California,credit
12-28-2015,4007057,80.64,Exercise & Fitness,Free Weights,Vancouver,Washington,credit
11-18-2015,4008411,70.93,Outdoor Recreation,Rock Climbing,Honolulu  ,Hawaii,credit
05-01-2015,4001382,116.24,Team Sports,Softball,Eugene,Oregon,credit
08-13-2015,4005627,119.83,Games,Bingo Sets,Eugene,Oregon,credit
11-28-2015,4002527,134.85,Games,Dominoes,Memphis,Tennessee,credit
03-31-2015,4003393,184.54,Team Sports,Curling,Austin,Texas,credit
03-26-2015,4003607,185.32,Exercise & Fitness,Medicine Balls,Jacksonville ,Florida,credit
08-09-2015,4000663,170.77,Winter Sports,Downhill Skiing,Richmond  ,Virginia,credit
10-24-2015,4005617,170.58,Team Sports,Soccer,Gresham,Oregon,credit
04-19-2015,4006597,124.9,Winter Sports,Bobsledding,Oakland,California,credit
12-07-2015,4008756,169.95,Outdoor Recreation,Lawn Games,New York,New York,credit
08-21-2015,4008207,12.11,Winter Sports,Snowboarding,Anaheim,California,credit
05-14-2015,4002473,156.86,Games,Card Games,Omaha,Nebraska,credit
10-23-2015,4007588,147.83,Gymnastics,Gymnastics Protective Gear,Irving,Texas,credit
12-08-2015,4000972,155.58,Games,Dice Games,Flint,Michigan,credit
11-22-2015,4002837,160.3,Exercise & Fitness,Exercise Bands,Reno,Nevada,credit
12-23-2015,4008529,65.1,Winter Sports,Cross-Country Skiing,St. Petersburg,Florida,credit
10-19-2015,4009164,59.38,Puzzles,Mechanical Puzzles,Charlotte,North Carolina,credit
11-17-2015,4003823,152.31,Games,Portable Electronic Games,Cincinnati,Ohio,credit
07-14-2015,4008401,185.87,Exercise & Fitness,Cardio Machine Accessories,Austin,Texas,credit
11-15-2015,4007766,96.43,Gymnastics,Balance Beams,Baltimore,Maryland,credit
04-14-2015,4003559,120.34,Outdoor Recreation,Disc Golf,Anaheim,California,credit
01-21-2015,4008775,182.6,Games,Poker Chips & Sets,Cambridge,Massachusetts,credit
06-19-2015,4002212,181.22,Team Sports,Cheerleading,Centennial,Colorado,credit
11-21-2015,4005029,83.21,Games,Poker Chips & Sets,Buffalo,New York,credit
09-23-2015,4003590,109.78,Outdoor Play Equipment,Sandboxes,Overland Park,Kansas,credit
04-11-2015,4002489,13.41,Team Sports,Beach Volleyball,Gilbert,Arizona,credit
01-21-2015,4003984,140.63,Games,Card Games,New York,New York,credit
03-16-2015,4007015,133.55,Gymnastics,Gymnastics Mats,Oklahoma City,Oklahoma,credit
05-06-2015,4006821,11.78,Games,Dominoes,Seattle,Washington,credit
06-13-2015,4004771,135.26,Jumping,Bungee Jumping,Berkeley,California,credit
11-01-2015,4002345,187.22,Team Sports,Team Handball,Santa Ana,California,credit
06-03-2015,4001716,73.79,Winter Sports,Cross-Country Skiing,Newark,New Jersey,credit
04-01-2015,4007816,137.63,Winter Sports,Snowmobiling,Nashville  ,Tennessee,credit
09-26-2015,4002638,178.44,Exercise & Fitness,Yoga & Pilates,Long Beach,California,credit
03-27-2015,4007407,102.85,Exercise & Fitness,Exercise Balls,Phoenix,Arizona,credit
01-31-2015,4000330,96.26,Outdoor Recreation,Motorsports,Santa Ana,California,credit
03-18-2015,4000527,113.91,Air Sports,Hang Gliding,Fremont,California,credit
03-25-2015,4005323,77.32,Outdoor Recreation,Golf,Philadelphia,Pennsylvania,credit
09-04-2015,4005719,90.7,Jumping,Jumping Stilts,Atlanta,Georgia,credit
11-03-2015,4008505,128.04,Water Sports,Water Polo,Columbus,Ohio,credit
09-17-2015,4003187,179.74,Gymnastics,Gymnastics Rings,Pasadena,Texas,credit
05-25-2015,4001777,188.6,Gymnastics,Gymnastics Rings,Jackson,Mississippi,credit
10-30-2015,4001445,136.21,Winter Sports,Snowboarding,Lincoln,Nebraska,credit
12-01-2015,4004613,106.09,Outdoor Recreation,Rock Climbing,Columbus,Ohio,credit
02-22-2015,4004455,19.24,Outdoor Recreation,Equestrian,Detroit,Michigan,cash
